ts,customer_id,age,income_monthly,debts_monthly,amount,term_months,credit_score,employment_status,collateral_value,purpose,out_decision,out_dti,out_ltv,out_risk_score,out_reasons,out_confidence,out_rule_hits,kyc_status,aml_hit
2025-08-12T20:45:13,10003,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-12T20:46:43,10003,26,150000.0,30000.0,500000.0,24,700,unemployed,800000.0,personal,Flag,0.2,0.62,75,['Unemployed status.'],0.25,"[{'code': 'UNEMPLOYED', 'message': 'Unemployed status.', 'severity': 'reject'}]",pass,False
2025-08-12T20:59:32,10002,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:20:49,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:27:23,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:34:27,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:36:16,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:36:41,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:43:36,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
2025-08-13T13:46:38,10001,26,150000.0,30000.0,500000.0,24,700,employed,800000.0,personal,Approve,0.2,0.62,55,"['Good credit score (>= 700).', 'Acceptable DTI (<= 0.4).', 'Low LTV (<= 0.8) or no collateral needed.', 'High income (>= 100,000).']",0.6,"[{'code': 'GOOD_SCORE', 'message': 'Good credit score (>= 700).', 'severity': 'info'}, {'code': 'GOOD_DTI', 'message': 'Acceptable DTI (<= 0.4).', 'severity': 'info'}, {'code': 'GOOD_LTV', 'message': 'Low LTV (<= 0.8) or no collateral needed.', 'severity': 'info'}, {'code': 'HIGH_INCOME', 'message': 'High income (>= 100,000).', 'severity': 'info'}]",pass,False
